;6;90710-2023;25;23;2023-03-16
;6;90742-2023;25;1;2023-03-16
;6;12685-2023;3;3;2023-03-16
;6;12742-2023;3;1;2023-03-16
;6;12710-2023;3;2;2023-03-17
;6;90716-2023;3;5;2023-03-17
;6;90748-2023;3;1;2023-03-17
;6;12683-2023;20;1;2023-03-17
;6;12586-2023;25;6;2023-03-17
;6;12718-2023;25;5;2023-03-17
;6;12678-2023;25;1;2023-03-17
;6;12713-2023;12;3;2023-03-17
;6;12703-2023;4;5;2023-03-17
;6;12709-2023;25;3;2023-03-17
;6;12712-2023;4;3;2023-03-17
;6;90715-2023;12;10;2023-03-17
;6;90746-2023;12;1;2023-03-17
;6;12725-2023;20;5;2023-03-17
;6;90770-2023;14;10;2023-03-22
;6;90780-2023;14;1;2023-03-22
;6;12915-2023;16;3;2023-03-22
;6;12863-2023;15;2;2023-03-22
;6;12809-2023;13;5;2023-03-22
;6;12779-2023;14;4;2023-03-22
;6;12878-2023;14;1;2023-03-22
;6;12829-2023;13;1;2023-03-22
;6;12756-2023;14;3;2023-03-22
;6;12807-2023;16;1;2023-03-22
;6;12858-2023;15;1;2023-03-22
;6;12865-2023;14;1;2023-03-22
;6;12661-2023;15;5;2023-03-22
;6;12814-2023;22;5;2023-03-22
;6;12879-2023;23;3;2023-03-22
;6;12806-2023;13;4;2023-03-22
;6;12920-2023;15;2;2023-03-22
;6;12862-2023;22;2;2023-03-22
;6;12821-2023;6;4;2023-03-22
;6;90833-2023;9;9;2023-03-24
;6;90794-2023;9;1;2023-03-24
;6;12972-2023;22;7;2023-03-24
;6;12955-2023;13;2;2023-03-24
;6;12962-2023;13;5;2023-03-24
;6;90789-2023;16;5;2023-03-24
;6;90797-2023;16;1;2023-03-24
;6;12974-2023;16;4;2023-03-24
;6;90790-2023;13;7;2023-03-24
;6;90793-2023;13;1;2023-03-24
;6;12921-2023;17;15;2023-03-27
;6;12868-2023;4;3;2023-03-27
;6;13098-2023;4;1;2023-03-27
;6;13093-2023;12;1;2023-03-27
;6;12155-2023;12;9;2023-03-27
;6;12791-2023;12;2;2023-03-27
;6;13041-2023;20;1;2023-03-27
;6;12929-2023;4;2;2023-03-27
;6;12688-2023;4;10;2023-03-27
;6;13017-2023;19;4;2023-03-27
;6;12958-2023;17;2;2023-03-27
;6;90736-2023;19;18;2023-03-27
;6;90796-2023;19;1;2023-03-27
;6;12922-2023;3;3;2023-03-27
;6;12942-2023;12;3;2023-03-27
;6;12664-2023;17;4;2023-03-27
;6;13094-2023;12;4;2023-03-27
;6;90884-2023;3;6;2023-03-30
;6;90883-2023;3;1;2023-03-30
;6;90824-2023;3;1;2023-03-30
;6;13051-2023;20;7;2023-03-30
;6;12343-2023;17;9;2023-03-30
;6;13160-2023;17;6;2023-03-30
;6;13139-2023;20;2;2023-03-30
;6;13133-2023;12;2;2023-03-30
;6;13141-2023;12;1;2023-03-30
;6;13182-2023;12;7;2023-03-30
;6;13042-2023;3;5;2023-03-30
;6;13121-2023;4;5;2023-03-30
;6;90845-2023;19;3;2023-03-30
;6;90823-2023;19;3;2023-03-30
;6;90911-2023;17;8;2023-03-31
;6;90850-2023;3;5;2023-03-31
;6;13075-2023;12;5;2023-03-31
;6;13245-2023;5;1;2023-03-31
;6;13209-2023;19;2;2023-03-31
;6;13173-2023;12;6;2023-03-31
;6;13222-2023;5;1;2023-03-31
;6;12983-2023;19;2;2023-03-31
;6;13166-2023;5;2;2023-03-31
;6;90800-2023;20;13;2023-03-31
;6;90826-2023;20;3;2023-03-31
;6;13212-2023;19;2;2023-03-31
;6;13171-2023;17;5;2023-03-31
;6;13240-2023;19;1;2023-03-31
;6;13253-2023;3;4;2023-03-31
;6;12988-2023;3;6;2023-03-31
;6;13137-2023;19;2;2023-03-31
;6;13217-2023;12;1;2023-03-31
;6;90918-2023;14;6;2023-04-06
;6;13351-2023;9;1;2023-04-06
;6;13427-2023;15;2;2023-04-06
;6;90917-2023;13;7;2023-04-06
;6;90908-2023;13;1;2023-04-06
;6;13399-2023;10;1;2023-04-06
;6;13280-2023;13;3;2023-04-06
;6;13194-2023;13;1;2023-04-06
;6;13406-2023;13;3;2023-04-06
;6;90968-2023;20;2;2023-04-11
;6;90962-2023;20;12;2023-04-11
;6;90972-2023;20;1;2023-04-11
;6;90952-2023;17;4;2023-04-11
;6;90939-2023;17;1;2023-04-11
;6;90934-2023;4;7;2023-04-11
;6;13402-2023;4;2;2023-04-11
;6;13319-2023;3;2;2023-04-11
;6;12963-2023;17;4;2023-04-11
;6;13392-2023;12;4;2023-04-11
;6;13302-2023;19;12;2023-04-11
;6;13401-2023;19;3;2023-04-11
;6;12375-2023;5;1;2023-04-11
;6;91028-2023;9;4;2023-04-17
;6;90919-2023;9;4;2023-04-17
;6;13664-2023;6;1;2023-04-17
;6;13432-2023;6;7;2023-04-17
;6;13594-2023;14;1;2023-04-17
;6;13665-2023;9;1;2023-04-17
;6;13466-2023;15;7;2023-04-17
;6;13555-2023;15;5;2023-04-17
;6;13417-2023;13;17;2023-04-17
;6;13604-2023;9;3;2023-04-17
;6;13076-2023;14;7;2023-04-17
;6;13331-2023;6;1;2023-04-17
;6;13439-2023;6;1;2023-04-17
;6;13635-2023;16;1;2023-04-17
;6;13487-2023;9;2;2023-04-17
;6;13646-2023;16;1;2023-04-17
;6;13657-2023;13;1;2023-04-17
;6;13026-2023;16;4;2023-04-17
;6;13485-2023;9;1;2023-04-17
;6;13441-2023;6;5;2023-04-17
;6;13514-2023;16;11;2023-04-17
;6;13380-2023;16;2;2023-04-17
;6;13140-2023;16;3;2023-04-17
;6;13560-2023;9;5;2023-04-17
;6;13564-2023;14;3;2023-04-17
;6;13689-2023;22;5;2023-04-20
;6;13805-2023;22;1;2023-04-20
;6;91000-2023;22;10;2023-04-20
;6;13672-2023;15;4;2023-04-20
;6;13813-2023;15;1;2023-04-20
;6;13710-2023;15;4;2023-04-20
;6;13620-2023;15;5;2023-04-20
;6;13785-2023;13;4;2023-04-20
;6;13831-2023;15;2;2023-04-20
;6;13791-2023;15;1;2023-04-20
;6;13771-2023;16;2;2023-04-20
;6;13749-2023;16;5;2023-04-20
;6;90979-2023;16;1;2023-04-20
;6;13770-2023;6;1;2023-04-21
;6;13783-2023;6;4;2023-04-21
;6;13317-2023;22;6;2023-04-21
;6;91052-2023;22;7;2023-04-21
;6;13780-2023;10;1;2023-04-21
;6;13525-2023;10;1;2023-04-21
;6;13643-2023;16;2;2023-04-21
;6;13717-2023;13;7;2023-04-21
;6;13779-2023;13;3;2023-04-21
;6;13824-2023;10;1;2023-04-21
;6;13861-2023;6;2;2023-04-21
;6;12835-2023;13;3;2023-04-21
;6;13781-2023;22;3;2023-04-21
;6;91049-2023;16;10;2023-04-21
;6;13860-2023;10;1;2023-04-21
;6;13748-2023;16;2;2023-04-21
;6;13713-2023;9;2;2023-04-21
;6;13823-2023;6;3;2023-04-21
;6;13593-2023;16;1;2023-04-21
;6;13259-2023;9;2;2023-04-21
;6;13663-2023;15;9;2023-04-21
;6;14011-2023;25;3;2023-04-28
;6;14089-2023;5;1;2023-04-28
;6;13894-2023;5;2;2023-04-28
;6;14094-2023;19;1;2023-04-28
;6;13895-2023;19;2;2023-04-28
;6;91092-2023;17;6;2023-04-28
;6;91173-2023;17;1;2023-04-28
;6;14097-2023;258;1;2023-04-28
;6;13962-2023;25;2;2023-04-28
;6;14012-2023;25;1;2023-04-28
;6;13852-2023;19;5;2023-04-28
;6;14021-2023;12;4;2023-04-28
;6;14117-2023;12;1;2023-04-28
;6;91098-2023;20;8;2023-04-28
;6;91136-2023;20;12;2023-04-28
;6;13987-2023;4;3;2023-04-28
;6;13902-2023;4;7;2023-04-28
;6;14142-2023;25;1;2023-04-28
;6;29440-2023;17;1;2023-04-28
;6;91200-2023;23;5;2023-05-05
;6;14165-2023;15;12;2023-05-05
;6;14156-2023;16;6;2023-05-05
;6;14394-2023;15;5;2023-05-05
;6;14220-2023;6;3;2023-05-05
;6;14111-2023;13;4;2023-05-05
;6;14190-2023;13;3;2023-05-05
;6;14341-2023;13;1;2023-05-05
;6;14182-2023;23;2;2023-05-05
;6;14155-2023;23;2;2023-05-05
;6;14300-2023;23;2;2023-05-05
;6;14110-2023;13;2;2023-05-05
;6;14267-2023;6;1;2023-05-05
;6;14199-2023;6;1;2023-05-05
;6;14006-2023;23;2;2023-05-05
;6;14019-2023;15;2;2023-05-05
;6;14114-2023;22;3;2023-05-05
;6;14051-2023;16;4;2023-05-05
;6;13999-2023;13;5;2023-05-05
;6;14189-2023;23;8;2023-05-05
;6;13977-2023;13;6;2023-05-05
;6;14516-2023;12;3;2023-05-12
;6;14558-2023;12;1;2023-05-12
;6;14529-2023;20;2;2023-05-12
;6;14245-2023;4;10;2023-05-12
;6;14469-2023;12;5;2023-05-12
;6;91264-2023;25;6;2023-05-12
;6;91268-2023;17;6;2023-05-12
;6;91276-2023;13;10;2023-05-15
;6;91293-2023;13;1;2023-05-15
;6;14368-2023;22;4;2023-05-15
;6;14602-2023;22;5;2023-05-15
;6;14587-2023;16;2;2023-05-15
;6;14637-2023;13;3;2023-05-15
;6;91287-2023;23;8;2023-05-15
;6;91292-2023;23;2;2023-05-15
;6;14676-2023;10;1;2023-05-15
;6;91251-2023;6;13;2023-05-15
;6;91256-2023;6;4;2023-05-15
;6;91270-2023;15;6;2023-05-15
;6;14643-2023;10;1;2023-05-15
;6;14632-2023;22;4;2023-05-15
;6;14582-2023;13;4;2023-05-17
;6;14658-2023;22;6;2023-05-17
;6;14693-2023;22;3;2023-05-17
;6;14776-2023;22;1;2023-05-17
;6;91299-2023;13;8;2023-05-17
;6;14795-2023;14;2;2023-05-17
;6;14750-2023;10;1;2023-05-17
;6;14659-2023;16;4;2023-05-17
;6;14765-2023;10;1;2023-05-17
;6;14709-2023;10;1;2023-05-17
;6;91376-2023;25;9;2023-05-22
;6;91375-2023;25;8;2023-05-22
;6;91401-2023;3;2;2023-05-22
;6;14543-2023;4;2;2023-05-22
;6;91377-2023;20;5;2023-05-22
;6;91339-2023;20;1;2023-05-22
;6;91327-2023;19;27;2023-05-22
;6;14916-2023;25;2;2023-05-22
;6;14831-2023;25;4;2023-05-22
;6;14455-2023;12;1;2023-05-22
;6;14549-2023;12;2;2023-05-22
;6;14996-2023;20;8;2023-05-26
;6;15037-2023;12;2;2023-05-26
;6;15036-2023;25;3;2023-05-26
;6;14946-2023;25;9;2023-05-26
;6;91393-2023;12;6;2023-05-26
;6;91394-2023;12;6;2023-05-26
;6;15010-2023;20;1;2023-05-26
;6;14977-2023;20;2;2023-05-26
;6;14979-2023;20;1;2023-05-26
;6;15021-2023;25;4;2023-05-26
;6;15059-2023;19;2;2023-05-26
;6;14956-2023;25;3;2023-05-26
;6;14990-2023;12;3;2023-05-26
;6;91392-2023;17;20;2023-05-26
;6;91423-2023;17;1;2023-05-26
;6;15019-2023;17;1;2023-05-26
;6;14980-2023;19;2;2023-05-26
;6;14987-2023;19;2;2023-05-26
;6;14984-2023;19;11;2023-05-26
;6;15023-2023;12;4;2023-05-26
;6;91516-2023;17;14;2023-06-05
;6;15112-2023;19;2;2023-06-05
;6;15344-2023;19;1;2023-06-05
;6;91502-2023;4;11;2023-06-05
;6;91473-2023;4;1;2023-06-05
;6;15266-2023;12;4;2023-06-05
;6;15265-2023;25;9;2023-06-05
;6;14498-2023;25;4;2023-06-05
;6;15231-2023;19;3;2023-06-05
;6;91520-2023;20;5;2023-06-05
;6;13537-2023;20;2;2023-06-05
;6;15234-2023;19;6;2023-06-05
;6;15239-2023;25;2;2023-06-05
;6;91555-2023;3;8;2023-06-07
;6;91542-2023;17;11;2023-06-07
;6;15332-2023;19;4;2023-06-07
;6;15280-2023;19;6;2023-06-07
;6;15281-2023;17;7;2023-06-07
;6;15375-2023;19;1;2023-06-07
;6;15194-2023;25;8;2023-06-07
;6;15317-2023;20;1;2023-06-07
;6;15122-2023;17;2;2023-06-07
;6;15301-2023;4;2;2023-06-07
;6;15186-2023;25;7;2023-06-07
;6;15128-2023;20;2;2023-06-07
;6;15258-2023;12;2;2023-06-07
;6;15405-2023;17;2;2023-06-07
;6;15242-2023;17;5;2023-06-07
;6;15302-2023;4;4;2023-06-07
;6;15118-2023;25;3;2023-06-07
;6;15195-2023;20;10;2023-06-07
;6;91595-2023;16;3;2023-06-12
;6;91597-2023;16;4;2023-06-12
;6;91594-2023;16;1;2023-06-12
;6;15529-2023;10;1;2023-06-12
;6;15475-2023;16;3;2023-06-12
;6;91598-2023;22;4;2023-06-12
;6;15524-2023;10;1;2023-06-12
;6;15283-2023;13;12;2023-06-12
;6;15461-2023;13;1;2023-06-12
;6;15404-2023;14;1;2023-06-12
;6;91585-2023;9;5;2023-06-12
;6;15357-2023;13;6;2023-06-12
;6;91591-2023;22;9;2023-06-12
;6;91596-2023;9;11;2023-06-12
;6;91603-2023;9;3;2023-06-12
;6;15554-2023;10;3;2023-06-12
;6;91612-2023;16;3;2023-06-13
;6;91604-2023;23;5;2023-06-13
;6;15094-2023;9;1;2023-06-13
;6;91610-2023;23;7;2023-06-13
;6;91618-2023;23;1;2023-06-13
;6;15574-2023;16;2;2023-06-13
;6;91608-2023;16;7;2023-06-13
;6;15581-2023;14;3;2023-06-13
;6;15385-2023;16;2;2023-06-13
;6;15501-2023;22;4;2023-06-13
;6;15621-2023;22;4;2023-06-14
;6;91605-2023;14;6;2023-06-14
;6;15613-2023;16;1;2023-06-14
;6;15528-2023;6;2;2023-06-14
;6;15390-2023;22;3;2023-06-14
;6;15439-2023;22;5;2023-06-14
;6;15443-2023;22;1;2023-06-14
;6;91613-2023;14;2;2023-06-14
;6;91593-2023;14;1;2023-06-14
;6;15584-2023;14;3;2023-06-14
;6;15614-2023;23;1;2023-06-14
;6;14877-2023;9;1;2023-06-14
;6;15586-2023;22;1;2023-06-14
;6;15429-2023;16;1;2023-06-14
;6;15583-2023;14;1;2023-06-14
;6;15672-2023;14;1;2023-06-16
;6;91644-2023;23;5;2023-06-16
;6;91642-2023;22;14;2023-06-16
;6;15518-2023;14;4;2023-06-16
;6;91647-2023;6;16;2023-06-16
;6;91450-2023;6;6;2023-06-16
;6;15689-2023;16;1;2023-06-16
;6;15486-2023;16;2;2023-06-16
;6;15058-2023;16;3;2023-06-16
;6;15363-2023;14;2;2023-06-16
;6;15731-2023;22;2;2023-06-16
;6;15648-2023;20;8;2023-06-19
;6;15620-2023;19;12;2023-06-19
;6;15688-2023;20;2;2023-06-19
;6;15515-2023;19;2;2023-06-19
;6;15453-2023;17;3;2023-06-19
;6;15698-2023;20;6;2023-06-19
;6;15764-2023;12;2;2023-06-19
;6;15538-2023;19;4;2023-06-19
;6;15765-2023;19;1;2023-06-19
;6;15626-2023;17;4;2023-06-19
;6;15681-2023;12;1;2023-06-19
;6;15362-2023;12;5;2023-06-19
;6;15617-2023;20;3;2023-06-19
;6;15746-2023;3;3;2023-06-19
;6;15200-2023;17;5;2023-06-19
;6;15678-2023;17;1;2023-06-19
;6;14601-2023;17;4;2023-06-19
;6;14269-2023;17;5;2023-06-19
;6;15684-2023;12;5;2023-06-19
;6;15708-2023;3;13;2023-06-19
;6;15704-2023;3;3;2023-06-19
;6;15742-2023;20;1;2023-06-19
;6;15425-2023;12;8;2023-06-19
;6;15656-2023;12;1;2023-06-19
;6;91723-2023;3;8;2023-06-23
;6;15923-2023;20;1;2023-06-23
;6;15858-2023;12;1;2023-06-23
;6;91725-2023;17;8;2023-06-23
;6;15870-2023;20;1;2023-06-23
;6;15949-2023;12;3;2023-06-23
;6;15926-2023;20;4;2023-06-23
;6;15941-2023;17;1;2023-06-23
